Financial year,Passenger cars,Buses,Rail,Air,Other ,Total
1974-75,125.3,7.4,10,8.3,15.9,166.8
1975-76,130.1,7.4,8.9,8.3,16.5,171.3
1976-77,136,7.5,8.6,8,18.1,178.1
1977-78,140.5,7.6,8.3,8.9,19,184.3
1978-79,144.4,7.7,8.2,9.4,19.4,189
1979-80,144.9,8.2,8.5,10.4,19.3,191.2
1980-81,147.1,8.7,8.7,10.7,19.7,195
1981-82,154.3,9.2,8.7,11.2,20.1,203.4
1982-83,154.8,10.5,8.5,10.3,19.8,203.9
1983-84,161.8,11.7,8.5,10.6,21.1,213.7
1984-85,167.9,13,8.5,11.3,22,222.7
1985-86,173.1,14,9,12.3,22.1,230.6
1986-87,176.8,15,9.4,13.2,22.2,236.6
1987-88,185.5,16,9.8,14.5,22.8,248.6
1988-89,194.4,16.9,10.2,15.1,23.8,260.3
1989-90,200,17.7,10,11.3,23.7,262.8
1990-91,200.5,17,10,16,22.9,266.3
1991-92,204.5,16.6,9.8,20.7,23,274.6
1992-93,210.8,16.5,9.5,21,23.4,281.2
1993-94,216.1,16.3,9.8,24.4,24.1,290.7
1994-95,222.9,16.1,10.1,27,25.4,301.5
1995-96,226,16.6,10.4,29,25.9,308
1996-97,227.7,16.4,10.7,30,26,310.8
1997-98,229.9,16.6,10.7,30.4,26.7,314.3
1998-99,235.3,16.6,10.9,31.1,27.2,321
1999-00,239.8,17,11.3,32.8,27.6,328.5
2000-01,237.2,17.3,11.9,35.7,27.9,329.9
2001-02,243.2,17.3,11.7,33,28.9,334.1
2002-03,249.5,17.7,11.7,35.8,29.8,344.4
2003-04,261.4,17.8,11.8,41.1,30.7,362.7
2004-05,262.1,17.8,11.8,45.9,30.9,368.5
2005-06,257.2,18.3,12.3,48.7,31.7,368.1
2006-07,260.4,18.6,12.9,53,32.8,377.7
2007-08,261.9,18.9,13.9,57.2,34.7,386.6
2008-09,260.7,19.3,14.6,58.6,36,389.1
2009-10,262.2,19.5,14.6,60.2,38.1,394.5
2010-11,264.7,19.8,14.8,64.6,39.1,402.9
2011-12,266.9,20.4,15.1,66.4,40.1,408.7
2012-13,272.3,20.7,15,69.7,41.2,418.7
2013-14,276.5,21.1,15.1,70.9,42.3,425.5
2014-15,279.6,21.2,15.5,70.2,43.5,429.5
2015-16,281.1,21.4,16,71.5,44.9,434.5
2016-17,282.2,21.4,16.6,72,46.4,438.2
2017-18,283,21.7,17.2,73.4,48.3,443.1
2018-19,281.4,22,17.9,73.8,48.5,443.2
2019-20,260.8,16.2,14.2,55.7,47,393.6
2020-21,262.9,11.9,8.8,28.2,47.3,359.1
2021-22,252.2,11.7,8.2,38.3,48.6,358.9
2022-23,270.4,16.2,13.2,70,50.7,419.9
2023-24,276.2,17.2,15.2,74.3,51.7,434.6
